time,cl,cl/1000,p' (cl),p'(cl/1000),SPL (cl),SPL (cl/1000)
0,0,0,0,0,#NUM!,#NUM!
0.001,-18.5501725,-0.018550172,-4.343895771,-0.004343896,106.736988,46.73698801
0.002,-17.42780305,-0.017427803,-4.081070404,-0.00408107,106.1948818,46.19488183
0.003,-17.48092785,-0.017480928,-4.093510642,-0.004093511,106.2213186,46.22131856
0.004,-17.54271983,-0.01754272,-4.107980477,-0.00410798,106.2519675,46.2519675
0.005,-17.57087552,-0.017570876,-4.114573698,-0.004114574,106.265897,46.265897
0.006,-17.62653941,-0.017626539,-4.127608518,-0.004127609,106.2933701,46.29337009
0.007,-16.35984606,-0.016359846,-3.830986807,-0.003830987,105.6456132,45.64561322
0.008,-15.04588846,-0.015045888,-3.523297222,-0.003523297,104.9183857,44.91838571
0.009,-13.78201041,-0.01378201,-3.227334773,-0.003227335,104.1562804,44.15628043
0.01,-12.52470379,-0.012524704,-2.932911154,-0.002932911,103.3253782,43.32537823
0.011,-11.27428033,-0.01127428,-2.640099366,-0.002640099,102.4118055,42.41180554
0.012,-10.03773349,-0.010037733,-2.350537066,-0.002350537,101.4027422,41.40274217
0.013,-8.8519439,-0.008851944,-2.072860599,-0.002072861,100.310802,40.31080202
0.014,-7.729794707,-0.007729795,-1.810086808,-0.001810087,99.13338815,39.13338815
0.015,-6.669091028,-0.006669091,-1.561701721,-0.001561702,97.85136186,37.85136186
0.016,-5.717413781,-0.005717414,-1.338847364,-0.001338847,96.51402144,36.51402144
0.017,-4.816711266,-0.004816711,-1.127929764,-0.00112793,95.02504123,35.02504123
0.018,-3.982322635,-0.003982323,-0.932540894,-0.000932541,93.3727578,33.3727578
0.019,-3.217696364,-0.003217696,-0.753488283,-0.000753488,91.52093015,31.52093015
0.02,-2.48272718,-0.002482727,-0.581380475,-0.00058138,89.26860893,29.26860893
0.021,-1.899439253,-0.001899439,-0.444791882,-0.000444792,86.94253713,26.94253713
0.022,-1.394580881,-0.001394581,-0.326569146,-0.000326569,84.2589031,24.2589031
0.023,-0.956291861,-0.000956292,-0.223934962,-0.000223935,80.98183815,20.98183815
0.024,-0.565969403,-0.000565969,-0.132533112,-0.000132533,76.42588803,16.42588803
0.025,-0.221886668,-0.000221887,-0.051959223,-5.20E-05,68.29265312,8.292653116
0.026,0.076523629,7.65E-05,0.017919546,1.79E-05,59.04594013,-0.954059875
