10,61.72134183,62.37207777
12.5,64.46383329,65.27725322
16,67.44860766,68.48978516
20,70.09017786,71.39164974
25,72.66362265,74.2904625
31.5,75.23792221,77.28774042
40,77.77442044,80.3773642
50,79.99722757,83.25090727
63,82.10752818,86.2071646
80,84.02362318,89.2295107
100,85.49742597,92.00478537
125,86.57497942,94.70917867
160,87.16357815,97.57535319
200,86.98291836,99.99763716
250,85.92232207,102.1907206
315,83.63626907,104.1344512
400,79.66602834,105.6954659
500,74.13245352,106.6692505
630,66.1545648,107.150929
800,55.04733497,107.1062102
1000,41.55618174,106.6297757
1250,24.4748654,105.8168579
1600,0.507747186,104.6254976
2000,-26.78496259,103.3622254
3150,-104.5203396,100.4614815
4000,-161.4602693,98.83410661
5000,-228.0887262,97.2792437
6300,-314.3173648,95.64627724
8000,-426.645771,93.94298082
10000,-558.3928951,92.34304473
12500,-722.6822872,90.73763758
16000,-952.2199328,88.95757092
20000,-1214.125658,87.34622153
